Name,AccountNumber,Phone,AnnualRevenue,External_Id__c
CloudBat,98-113-6824,8949839319,9999,A001
Hartmann Inc,03-740-5920,2855938232,10000,A002
Walker-Labadie,90-328-4529,9455900766,9999,A003
Bradtke-Blick,20-629-2855,1098392565,9999,A004
Cummings LLC,71-588-1137,3545274579,10000,A005
Mills and Sons,77-865-6547,3972026660,9999,A006
Zieme Group,07-298-1572,1416742045,9999,A007
"Jacobs, Pollich and Lockman",72-804-9589,5611525837,10000,A008
"Homenick, Jones and Kutch",53-744-8998,4324269073,9999,A009
"Hilll, Buckridge and Jenkins",07-221-0572,4845369600,10000,A010
Considine LLC,70-342-8442,8295558679,9999,A011
Armstrong Inc,13-529-5087,9254645998,10000,A012
Littel-Schaefer,09-072-9320,2935601207,9999,A013
"Veum, Toy and Lebsack",74-147-0106,3357636452,9999,A014
"Hermiston, Rath and Dicki",54-535-3619,3725367021,10000,A015
Mante and Sons,74-533-3967,7647793372,10000,A016
Zemlak-Hudson,59-845-0109,7527400821,9999,A017
Lockman-Huel,93-114-1248,8165225740,9999,A018
Kunde and Sons,45-235-5805,7403976174,9999,A019
Lehner-Franecki,35-118-7538,7708681074,9999,A020
Leuschke and Sons,23-934-4165,8563633909,9999,A021
"Welch, Rempel and Haag",83-549-7974,5382895995,10000,A022
"Spinka, Reichel and Vandervort",49-465-0964,8397891040,9999,A023
Conroy-Fisher,90-370-0835,8934623418,9999,A024
Torp Inc,57-853-1302,2805011621,9999,A025
Waelchi-MacGyver,24-469-9735,6287683365,9999,A026
"Hilpert, Schaden and Daugherty",21-043-9856,8823002365,9999,A027
"Considine, Reynolds and Beatty",39-976-8886,7917271918,9999,A028
Mitchell-Zemlak,79-394-1486,8739162121,9999,A029
Kemmer and Sons,56-736-0013,5995194453,10000,A030
Yost and Sons,95-713-3205,9597074878,9999,A031
"Corwin, Leffler and Daniel",48-515-1821,5153513626,9999,A032
Wisozk-Quigley,45-829-2326,6681199399,9999,A033
Crona-Runte,49-138-2400,1836270547,9999,A034
"Kertzmann, Heidenreich and Hermann",29-518-3565,3675381018,10000,A035
"Kunde, Okuneva and Brekke",02-700-8150,5335500782,10000,A036
McKenzie-Ryan,85-606-3294,1893552943,9999,A037
Olson-McCullough,99-902-4194,8936733550,9999,A038
Kirlin LLC,49-628-0529,4939554077,9999,A039
Murphy-Marks,47-245-0539,9048871440,9999,A040
Miller Group,44-865-1154,9939874567,10000,A041
"Schamberger, Armstrong and Goodwin",20-164-3411,9813581941,10000,A042
Kuhlman and Sons,51-402-4355,5817566113,10000,A043
"Koss, Ullrich and Halvorson",28-704-7721,1788984068,10000,A044
Wehner-Kirlin,55-326-1899,4502145439,9999,A045
"Carter, Wolff and Oberbrunner",76-431-8478,6744283467,9999,A046
"Hettinger, Langworth and Kshlerin",54-586-4684,7341149202,9999,A047
Wuckert-Hermiston,72-777-5963,3795108254,9999,A048
"Jones, Hammes and Effertz",88-463-7304,5396744614,10000,A049
Aufderhar-Schamberger,41-045-0247,8363668854,10000,A050
Kautzer Inc,75-029-0322,2112990976,10000,A051
"Ankunding, Donnelly and Schiller",53-440-9283,7603976504,10000,A052
Gutmann-Stoltenberg,10-900-4449,4529192652,9999,A053
"Bayer, Halvorson and Hartmann",98-747-0383,8425310853,10000,A054
Fisher and Sons,00-607-9788,5042772742,9999,A055
Gulgowski LLC,40-370-3251,2519630298,9999,A056
Grimes-Walsh,07-332-5583,3218204453,10000,A057
Wehner-Jakubowski,82-611-1961,8625693380,10000,A058
"Hilll, Braun and Moen",02-619-7844,2169703320,10000,A059
O'Keefe-Feest,94-599-2564,2595066873,10000,A060
Armstrong-Dicki,69-485-9674,6096991245,10000,A061
Lebsack-Mueller,23-903-4584,8783870523,10000,A062
"Reichert, Schmitt and Nitzsche",17-810-6500,4079302885,9999,A063
Grady Inc,04-617-2285,2643239307,9999,A064
Kris-Bartoletti,91-701-1456,6198327028,9999,A065
"Smith, Lang and Denesik",65-508-3404,6041571090,9999,A066
Stroman Group,28-017-3269,3417998534,9999,A067
"Swift, Dooley and Jerde",13-701-4046,4406551792,10000,A068
Feeney-Koelpin,40-283-2285,3445657188,10000,A069
Spencer-Schulist,11-073-9694,3474828846,10000,A070
Hickle-Balistreri,85-066-4456,4316378853,10000,A071
"Reynolds, Hilll and Green",77-872-2962,1779305393,10000,A072
Schamberger Group,80-063-5530,3499358088,9999,A073
Jacobi-Yundt,73-808-0210,1933641452,10000,A074
Wehner-Toy,79-618-4477,1877916399,10000,A075
"Jacobi, Hansen and Schuster",99-874-0228,8721259625,10000,A076
Schaefer and Sons,59-380-4209,1428249861,10000,A077
"Farrell, O'Connell and Farrell",03-181-0064,7382660935,9999,A078
"Yost, Bahringer and Mohr",09-503-8397,8108986493,9999,A079
"Thompson, Cronin and Ferry",68-249-7826,4632249149,9999,A080
O'Kon-Grimes,54-887-7876,1296115516,10000,A081
Kulas-Bashirian,83-981-1597,6791855937,10000,A082
Sporer-Heller,13-862-5537,4068235273,10000,A083
Braun Group,73-524-6033,3009164895,10000,A084
Reynolds-Nikolaus,77-323-5234,6842681519,9999,A085
Thompson-Rempel,09-483-3187,5528203734,9999,A086
Bernier-Nienow,75-265-6191,5721960074,10000,A087
"O'Reilly, Larson and Raynor",20-143-7234,6598364126,10000,A088
"Hudson, Hammes and Stokes",02-442-3694,4181831738,9999,A089
Sipes-Stokes,32-698-4352,5938977129,10000,A090
Harvey and Sons,66-239-5230,4225058118,10000,A091
Lowe-Gutkowski,37-971-3308,6369375642,9999,A092
Keebler-Rodriguez,04-383-1308,5038081427,9999,A093
Collier Inc,76-677-5363,2224484476,10000,A094
"Roob, Sawayn and Mosciski",05-465-9974,8183957853,9999,A095
Kertzmann Group,37-252-6203,4747152798,9999,A096
Fisher-Mayert,29-576-9921,7762248004,10000,A097
Hand-Buckridge,54-850-0822,9501728197,9999,A098
"Wolff, Beer and Herman",16-215-2234,7049747863,10000,A099
"Parisian, Bednar and Schinner",10-404-3305,6341875786,9999,A100
Marks-Wolf,26-079-0932,5615462477,9999,A101
Sanford Group,15-675-8314,9515769090,9999,A102
Brown and Sons,08-532-6467,5533177049,9999,A103
"Barton, Olson and Feil",89-121-8782,8976085130,9999,A104
Bayer-Toy,03-063-8574,4162279225,9999,A105
"Pacocha, Senger and Walsh",73-580-5179,9104509776,9999,A106
"Wisoky, Schinner and Herzog",66-326-0255,4035855842,9999,A107
"Von, Bradtke and Legros",26-498-5524,4149457823,9999,A108
Rowe-Gerhold,55-350-3253,4834857424,10000,A109
"Gislason, Rodriguez and Toy",77-047-5844,8116646713,9999,A110
Reichert Inc,86-047-8937,3258223220,10000,A111
Parisian-Fay,78-322-1166,1806700391,9999,A112
Gulgowski-Runolfsdottir,28-169-4905,1186986735,10000,A113
Klein and Sons,09-384-4086,4505748168,9999,A114
Kerluke-Langworth,76-346-2920,3736210421,9999,A115
Leuschke-Schulist,06-565-9111,3801649288,10000,A116
"Hettinger, Leffler and Wilkinson",88-508-9543,2657378218,9999,A117
Jacobs-Ward,94-115-1572,2362370091,9999,A118
Reynolds and Sons,17-376-3778,5081160054,10000,A119
Kertzmann Group,07-268-2961,4277585045,10000,A120
Hermiston-Romaguera,47-223-5674,7266469581,9999,A121
Rempel-O'Reilly,16-098-1636,1777908975,9999,A122
Buckridge-Schultz,13-035-2654,6911490680,9999,A123
Kuhn LLC,87-065-9043,7955735948,9999,A124
"Windler, Hilpert and Farrell",42-191-0131,3278059469,10000,A125
"Lang, Bayer and O'Connell",97-306-7947,9213954839,10000,A126
Hodkiewicz LLC,79-130-0367,5874686628,9999,A127
Windler-Braun,83-248-9084,9552515654,10000,A128
Gottlieb-Balistreri,66-063-9691,3289599909,9999,A129
Hudson-Hilll,30-359-8993,8069396482,10000,A130
Hermiston Group,20-590-6732,4931911298,9999,A131
Medhurst-Lemke,33-838-7477,7535256802,9999,A132
Nikolaus-Huels,13-989-7849,2339140100,10000,A133
Hills-Donnelly,24-358-2753,9363005382,9999,A134
Wuckert LLC,75-811-2776,5557682397,10000,A135
Lueilwitz-Heathcote,89-575-1406,1521286960,9999,A136
Armstrong Inc,72-599-1453,2575002621,10000,A137
Kling Group,05-860-4138,1541233257,10000,A138
Tromp and Sons,29-171-8488,9185153935,9999,A139
Bode-Kohler,14-081-5366,9538282367,10000,A140
"Herman, Bauch and Jakubowski",30-071-8086,9913611048,10000,A141
Rath-Greenholt,95-396-6495,3746816191,9999,A142
"Bashirian, Hilpert and Bailey",35-707-9948,3172794965,9999,A143
"Daniel, Streich and O'Connell",92-826-9081,6732301720,10000,A144
Braun-Baumbach,14-755-5656,6429815360,10000,A145
Turcotte Inc,99-760-1735,9242791465,10000,A146
Gorczany Group,47-935-7649,9698832509,10000,A147
Waelchi Inc,34-783-2651,4449542742,10000,A148
Ward LLC,29-460-4604,5653410832,10000,A149
Boehm-Schuster,42-241-6665,5045076591,10000,A150
Pfeffer Group,94-877-2723,5465406690,9999,A151
Hoppe-Dickens,38-336-7401,2072415469,9999,A152
Mosciski Inc,88-636-5084,3694524641,9999,A153
Casper LLC,04-839-4131,7465028494,9999,A154
"Tillman, Marks and Hammes",28-539-7332,1755776741,9999,A155
Leannon-Lakin,43-268-6626,4072619099,9999,A156
Rippin LLC,97-174-8814,6364031867,9999,A157
White-Emmerich,02-140-4170,6424798754,10000,A158
Frami-Runte,80-457-3409,9744191903,9999,A159
"Jakubowski, Fisher and Schroeder",84-023-7263,7884820538,10000,A160
Gaylord-Schneider,25-903-0723,9946563739,10000,A161
"Carter, Macejkovic and Hintz",54-520-6990,5416136243,9999,A162
"Zulauf, Medhurst and Hudson",44-861-7924,1751527421,10000,A163
"Gerlach, Wilderman and Hartmann",77-777-0291,6012584234,10000,A164
Abbott-Ondricka,80-744-6201,8713767076,10000,A165
"Lebsack, Hackett and Altenwerth",72-051-2025,2757961280,9999,A166
"Von, Kuphal and Schamberger",21-144-5739,3803152895,10000,A167
"Schuppe, Medhurst and Schimmel",48-945-5478,8175162686,10000,A168
"Collins, Vandervort and Hills",68-521-5239,6104828376,10000,A169
Tromp-Stroman,71-508-9734,7471920431,9999,A170
"Heaney, Reilly and Bashirian",21-947-4321,3837283036,10000,A171
Roberts Group,00-082-5438,2414212874,10000,A172
Pacocha-Collins,63-403-2087,2052642958,9999,A173
Kassulke and Sons,44-271-7457,1618654379,10000,A174
Cormier-Towne,26-226-6237,7655138017,10000,A175
Bernhard-Douglas,73-959-4843,7683456509,9999,A176
Howell-Howe,52-297-4396,7507882487,10000,A177
Parker and Sons,52-262-9039,3099356475,10000,A178
"Harber, Bogisich and O'Kon",44-129-5261,4386832426,10000,A179
Wiegand-Bogisich,77-642-4772,6059942013,10000,A180
"Ankunding, Ward and DuBuque",56-343-5411,7639674139,10000,A181
"Thompson, Daugherty and Connelly",82-540-4114,3827060399,10000,A182
"Medhurst, Deckow and Leffler",61-207-8857,9015816991,10000,A183
"Hane, Murphy and Jacobs",70-814-9232,8873881195,10000,A184
Crooks LLC,07-730-4353,4636736401,9999,A185
Jast-Graham,72-463-4649,5436551938,10000,A186
Kassulke-Bailey,06-939-3095,3716056772,9999,A187
Walter Group,44-665-8603,7179603161,9999,A188
"Lynch, Hahn and Witting",70-496-8621,4516930136,9999,A189
Hirthe LLC,63-979-3376,6024374970,10000,A190
Gleichner-Swift,58-723-4227,6055700456,10000,A191
West Group,28-459-2061,3541081894,10000,A192
"Erdman, Keeling and Brekke",09-689-8934,7001186479,10000,A193
"Swift, Macejkovic and Koss",17-956-7872,8409625053,10000,A194
Dooley-Koss,05-013-6761,9064895376,9999,A195
Considine-Schinner,58-800-9796,1379364235,9999,A196
"Botsford, Beatty and Kirlin",48-286-2067,5646715689,9999,A197
Sanford-Jacobs,93-218-3772,6174211249,9999,A198
Feeney Inc,72-721-2053,7238169229,9999,A199
Kovacek Group,21-702-9171,1378616144,9999,A200
"Ryan, Morissette and Nitzsche",96-730-7019,2539854031,9999,A201
"Lueilwitz, Torp and Rempel",27-723-6564,1123541962,10000,A202
Padberg and Sons,49-308-4092,7784334279,10000,A203
"Breitenberg, Considine and Gerhold",70-016-0824,5552122650,9999,A204
"Ankunding, Hyatt and Jakubowski",01-573-7549,9249116324,9999,A205
Roberts-Hammes,84-860-9079,6446633521,9999,A206
"Batz, Gutmann and Schimmel",55-909-5174,9815166853,10000,A207
Halvorson-Cole,08-611-5714,5759686193,9999,A208
Green LLC,89-581-5918,9297609485,10000,A209
Renner and Sons,58-578-7632,5084402656,9999,A210
Kuphal-O'Keefe,82-800-1484,9067266294,10000,A211
Predovic LLC,96-463-8650,8195336022,10000,A212
Hintz-Robel,78-572-1580,7116837857,9999,A213
Heathcote-Upton,68-241-5775,9484771026,9999,A214
"Dooley, Runolfsson and Effertz",22-379-3857,4611128721,10000,A215
Smith Inc,75-414-7036,8751298396,9999,A216
Gerlach Group,68-074-1242,5074778762,9999,A217
Bechtelar Group,77-566-6134,8398355874,9999,A218
Price LLC,36-276-7785,1062391555,10000,A219
Grimes and Sons,20-705-5149,6776729819,10000,A220
Huels-Dooley,14-711-0676,6117441787,9999,A221
Gerlach-Homenick,47-824-2790,5453086956,9999,A222
"Keeling, Herzog and Keeling",97-336-5244,6306554998,10000,A223
Fahey-Runolfsdottir,24-133-7645,3466916065,9999,A224
Schroeder Inc,69-727-1535,1071659626,9999,A225
"Bergnaum, Kulas and Feest",66-585-3699,8014569625,10000,A226
"Greenfelder, Sporer and Kuhic",28-643-3431,6183516699,10000,A227
Dicki Inc,01-946-6203,1498047502,10000,A228
"Gulgowski, Breitenberg and Kozey",56-722-1964,9508578952,9999,A229
Bergstrom-Orn,17-681-3639,2479758972,10000,A230
O'Connell Inc,88-981-7015,3475494128,10000,A231
Schowalter Inc,81-344-4985,2505610642,10000,A232
"Dibbert, Larson and Kris",96-466-1248,7952004161,9999,A233
"Daugherty, Bode and Waters",72-651-0570,1583801146,9999,A234
Welch-Keeling,73-036-7651,3557533252,9999,A235
"Stiedemann, Hilll and Ruecker",95-051-1231,3212709501,10000,A236
"Klein, McDermott and Johnson",91-685-8727,2026114391,9999,A237
Barrows-O'Keefe,93-090-1014,1548053464,9999,A238
King-Hudson,43-596-9618,8675092074,9999,A239
"Waters, Russel and Ferry",09-033-6186,7134765495,10000,A240
Crooks-O'Kon,94-254-8933,2515057429,10000,A241
Wiegand-Halvorson,91-879-1751,7641827758,9999,A242
Satterfield-Torphy,51-559-4891,1179671878,10000,A243
Kulas-Konopelski,78-541-6949,6952310956,10000,A244
Hermann-Champlin,42-452-5731,9946602283,10000,A245
Farrell LLC,78-666-6866,1852224769,9999,A246
"Terry, Moore and Stracke",99-830-3353,4148824023,10000,A247
"Tremblay, Gerhold and Stokes",77-270-4734,6452123491,9999,A248
D'Amore-Gutmann,21-704-6258,1167001148,10000,A249
Fay-Oberbrunner,80-544-4796,5101600637,10000,A250
Runolfsdottir Inc,14-786-9167,2093259063,9999,A251
Bergnaum and Sons,20-825-0044,6139139812,10000,A252
"Christiansen, West and Considine",17-754-1903,4754613062,9999,A253
Reynolds-Price,29-212-7982,2043297846,9999,A254
Dickens Group,80-102-6420,8888147443,10000,A255
Little-Kemmer,75-460-0500,5305012909,10000,A256
"Morar, Steuber and Collier",65-658-7047,9123381118,9999,A257
Rodriguez-Greenholt,66-434-9679,9629769570,10000,A258
"Brown, Cummings and O'Conner",32-039-3736,9753399050,9999,A259
Quigley and Sons,30-144-3811,4502498925,9999,A260
McGlynn-Emard,88-681-7367,7108323176,9999,A261
Hodkiewicz Group,60-426-5479,9757180357,10000,A262
"King, Parisian and Cronin",64-929-2922,7756003148,10000,A263
Hodkiewicz-Schmeler,83-925-3997,7848653114,10000,A264
Zieme and Sons,11-433-3557,9958598141,9999,A265
Pollich and Sons,28-860-1606,5265894584,10000,A266
"Morissette, Gibson and Block",69-210-7964,1023025526,9999,A267
Emmerich and Sons,53-103-1748,9349281458,10000,A268
"Osinski, Corkery and Stroman",85-392-7630,8383409949,10000,A269
Paucek Group,21-526-1863,6227961137,9999,A270
Prosacco and Sons,64-067-7220,8232549274,9999,A271
Lemke Inc,31-503-3128,3303406224,9999,A272
Gorczany-Hodkiewicz,66-856-7167,4576826812,10000,A273
"Johns, Bernier and Windler",98-403-1853,9474655377,9999,A274
Williamson and Sons,88-137-6279,7822038830,9999,A275
"Treutel, Williamson and Fadel",73-983-6840,1292647638,9999,A276
Wiegand-Harvey,53-717-2958,6191886206,9999,A277
Thompson Inc,68-672-3951,1911794059,10000,A278
"Barrows, Roob and Sawayn",55-979-5623,2475476299,9999,A279
Bode Inc,93-304-9757,2227905697,9999,A280
Halvorson-Stanton,00-373-2890,8749482417,9999,A281
Walker-Crooks,97-583-2617,9591779868,10000,A282
Walter-Koss,28-664-6979,7078539244,10000,A283
Mills Group,45-471-2078,1593164556,10000,A284
"Veum, Olson and Kutch",45-671-1705,7488933917,9999,A285
Hessel and Sons,81-239-4845,2201977405,9999,A286
Bradtke and Sons,01-134-4916,2841908434,9999,A287
Hilpert-Cartwright,90-789-0944,1463257964,10000,A288
"Stark, Adams and Mitchell",42-742-2491,5251822116,9999,A289
Olson Group,57-879-6630,5086510295,10000,A290
Marks-Paucek,70-514-2331,6075557434,10000,A291
"Durgan, Kutch and Parker",81-831-1633,9145132941,9999,A292
Hagenes-Veum,67-331-4797,6572556765,9999,A293
Hoeger-Predovic,67-934-7685,7491764862,10000,A294
"Wolff, Beahan and Jacobs",81-833-4320,6953255097,9999,A295
Okuneva-Schimmel,53-902-5899,6372669832,9999,A296
"Miller, Hoeger and Koepp",12-096-4739,5597639084,10000,A297
Zulauf-Lowe,86-474-9248,5323555171,10000,A298
Berge LLC,26-028-8819,7459967675,10000,A299
Purdy-Lemke,94-057-4909,6739056778,10000,A300
"Hauck, Douglas and Fahey",07-667-2460,7267231499,10000,A301
Koss-Goldner,76-057-9955,8093142660,10000,A302
Hagenes-Balistreri,61-524-5132,9888429870,9999,A303
Lindgren LLC,77-517-8525,6196001645,9999,A304
Fahey Inc,70-367-1776,3609123629,9999,A305
"Stehr, O'Conner and Torp",20-525-2455,8568764952,10000,A306
"Tromp, Bednar and Casper",10-056-0287,9969724643,10000,A307
Wehner-Dickinson,49-287-9513,5589055648,10000,A308
Murphy-Turner,89-488-6233,1097056335,10000,A309
Hamill-McDermott,04-937-9703,7097733951,9999,A310
Morar Inc,87-680-8868,5465382074,9999,A311
Fritsch LLC,05-336-2018,1974791760,10000,A312
"Larson, Farrell and Stanton",45-690-0203,2264966412,9999,A313
"Nitzsche, MacGyver and Cole",59-461-1849,6696217140,9999,A314
Treutel-Wiegand,77-381-5030,9627056786,9999,A315
Klocko Group,26-946-6603,2845784120,10000,A316
Bartell and Sons,59-634-0721,1386077402,10000,A317
"Yundt, Kling and Bailey",21-361-6137,2532026182,10000,A318
Langosh Group,51-794-4945,6519762803,10000,A319
"Funk, Zemlak and Oberbrunner",21-715-9876,8387815857,10000,A320
Rogahn-Steuber,54-967-6944,7576828204,10000,A321
Adams-Nikolaus,51-507-5280,9033886237,10000,A322
Gutkowski LLC,36-964-1922,4966215622,10000,A323
Crist and Sons,16-920-2706,7654557411,9999,A324
Witting-Pagac,84-494-9503,4833530072,9999,A325
"Willms, Beatty and Beatty",76-372-1346,2999325655,10000,A326
"Schneider, Lubowitz and Windler",96-282-6859,9135152963,10000,A327
"Yost, Gutmann and Kling",34-995-9335,4565693672,9999,A328
McCullough LLC,22-014-5879,8492930465,9999,A329
Bashirian LLC,39-664-5337,6697011286,10000,A330
Mante and Sons,98-224-4748,2621322012,10000,A331
Kilback LLC,32-087-5809,8656508581,9999,A332
